,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,fgWKXlPr,2024-11-22,00:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Bolivar,CLAUSURA ,5.8,4.0,1.44,1.36,3.0,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1,3.7,1.26,1.98,1.83
2,zPs4uVuR,2024-11-22,00:00,BRAZIL - SERIE A BETANO,Vasco,Internacional,ROUND 34,3.25,3.25,2.15,1.5,2.5,1.08,8.0,1.36,3.2,2.15,1.67,1.91,1.91,3.3,1.33,1.68,2.15
3,nFe0EWXO,2024-11-22,00:30,COLOMBIA - PRIMERA A,Once Caldas,Deportes Tolima,CLAUSURA ,2.38,3.0,2.9,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67,2.35,1.58,1.35,3.1
4,jLPTVSge,2024-11-22,01:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Wilstermann,CLAUSURA ,1.45,4.05,6.0,1.36,3.0,1.05,11.0,1.25,3.75,1.8,2.0,2.1,1.67,1.38,3.0,1.1,7.0
5,b9JYT7LE,2024-11-22,01:30,ARGENTINA - TORNEO BETANO,Ind. Rivadavia,River Plate,ROUND 23,6.5,3.6,1.57,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,2.25,1.57,7.0,1.1,2.68,1.45
6,6cNu9v1t,2024-11-22,02:05,MEXICO - LIGA MX,Guadalajara Chivas,Atlas,APERTURA ,1.65,3.4,5.0,1.5,2.5,1.08,8.0,1.4,2.75,2.2,1.65,2.1,1.67,1.7,2.1,1.2,4.4
7,QuRAYZIt,2024-11-22,02:30,COLOMBIA - PRIMERA A,Junior,America De Cali,CLAUSURA ,2.05,3.1,3.4,1.5,2.5,1.08,7.5,1.4,2.75,2.35,1.57,2.0,1.73,2.05,1.75,1.28,3.55
8,2PGl7IVh,2024-11-22,04:00,MEXICO - LIGA MX,Club Tijuana,Club America,APERTURA ,2.88,3.5,2.15,1.33,3.25,1.03,15.0,1.22,4.0,1.7,2.1,1.62,2.2,2.85,1.4,1.68,2.15
9,SYpTD48c,2024-11-22,07:30,AUSTRALIA - A-LEAGUE,Perth Glory,Western United,ROUND 5,3.25,3.9,1.95,1.29,3.5,1.02,19.0,1.17,5.0,1.53,2.5,1.5,2.5,3.3,1.33,1.88,2.02
10,t4XCamF8,2024-11-22,09:30,INDONESIA - LIGA 1,Persebaya,Persija Jakarta,ROUND 11,2.1,3.1,3.2,1.44,2.55,1.07,8.0,1.36,2.95,2.23,1.6,1.85,1.87,2.25,1.6,1.3,3.05
